2022-11-05 11:18:54.119 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for Carl__Valentin
2022-11-05 11:18:54.228 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for Jakob_Lose
2022-11-05 11:18:54.350 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for orlaosterby
2022-11-05 11:18:54.427 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for AzadRabih
2022-11-05 11:18:54.562 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for ArneLaegaard
2022-11-05 11:19:47.711 | INFO     | utils.twitter_utils:get_new_user_tweets:183 - Looking for new tweets since last extraction...
2022-11-05 12:21:33.445 | INFO     | utils.twitter_utils:get_new_user_tweets:183 - Looking for new tweets since last extraction...
2022-11-05 12:21:33.597 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for AndersKuhnau
2022-11-05 12:21:33.657 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for stemsimonhansen
2022-11-05 12:21:33.718 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for Jonasbjorn
2022-11-05 12:21:33.774 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for Kvinderaadet
2022-11-05 12:21:33.829 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for miljoemin
2022-11-05 12:21:33.892 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for TommyPetersenDK
2022-11-05 12:21:33.935 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for PGraversgaard
2022-11-05 12:21:33.989 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for htgentofte
2022-11-05 12:21:34.043 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for CgaChristel
2022-11-05 12:21:34.091 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for perleberger
2022-11-05 12:21:34.141 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for KimDrejer
2022-11-05 12:21:34.190 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for mikkskovgaard
2022-11-05 12:21:34.265 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for KroghBerlingske
2022-11-05 12:21:34.313 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for flydtkjaer
2022-11-05 12:21:34.385 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for UVM_dk
2022-11-05 12:21:34.443 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for MetteGjerskov
2022-11-05 12:21:34.505 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for karenlagoni
2022-11-05 12:21:34.570 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for Europarl_DK
2022-11-05 12:21:34.656 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for JeppeBruus
2022-11-05 12:21:34.715 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for RosaLundEl
2022-11-05 12:21:34.769 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for UFM_MIN
2022-11-05 12:21:34.837 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for CKissmeyer
2022-11-05 12:21:34.891 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for MarcPerera
2022-11-05 12:21:34.954 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for MF_K_Lorentzen
2022-11-05 12:22:52.964 | INFO     | utils.twitter_utils:get_new_user_tweets:183 - Looking for new tweets since last extraction...
2022-11-05 12:25:46.546 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - NotFound! Unable to collect tweets for Knuden1969
2022-11-05 12:38:55.838 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TweepyException! Unable to collect tweets for kaaretraberg
2022-11-05 12:40:01.332 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - Unauthorized! Unable to collect tweets for dfmehd_mette
2022-11-05 12:54:24.251 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TweepyException! Unable to collect tweets for olebirkolesen
2022-11-05 12:58:43.589 | INFO     | utils.twitter_utils:get_new_user_tweets:199 - Collection completed for 638 twitter handles!
